trade_area,x
MED/SA,65094.46058224005
Baltic/WAF,60897.427381293775
ECC/MED,59454.53980639568
Black Sea/USEC,59302.37353704781
USWC / CBS,58947.575132863334
ARA/ARABIAN GULF,56170.10158706371
WEST FAR EAST / UKC,55495.64886912089
Baltic Sea/North Spain,54940.2735597537
SOUTH AMERICA/USG,54752.2374992625
WEST FAR EAST / SOUTH AFRICAN AREA,54295.27620219815
WCA/CARIBS,53053.11656903879
SOUTH AFRICA/WCI,51432.50687500158
CONT/BALTIC SEA,50981.58488141527
ARA / AG,50695.998722128716
BLACK SEA/SCAN,50042.423176179436
Cont/Scan,49735.806769240946
MED / BALTIC SEA,49252.46823089554
WCC / WC MEX,47599.53117513902
FAR EAST/ ECI,47128.31562926834
NORTH SEA TO FAR EAST,46934.750522110255
BRAZIL/FAR EAST,46733.09341146477
WEST FAR EAST/SOUTH AMERICA,45374.99506022238
BLACK SEA / BALTIC SEA,44342.990565638844
AG/USG,43282.0893782232
ARABIAN GULF/CONT,42570.62925987357
ECC / USWC,41292.919289939804
NSEA,40987.165968026085
RED SEA / WAF,40842.37691501856
UK Cont/Scan,40259.4649842219
CARIBS/FAR EAST,40114.147293419956
ARA/USEC,39984.29715575883
ARA/ECA,39738.89771710882
USG/Cont,39471.57367546112
Med/North Spain,37550.29672536189
WCI / ARA,36012.220367914844
MED/ECSAM,33955.73430809399
WEST FAR EAST/UEA,33700.38502221992
ECC/SOUTH AMERICA,33425.22234637359
NORTH SPAIN,32800.222292985505
SCAN / BALTIC SEA,32176.765111755612
WAF/UK CONT,31576.401896583156
FAR EAST/EAF,31381.677724026325
CARIBS/ECC,30694.650151554593
BARENTS SEA / UK CONT,27235.129222834406
WAF/BLACK SEA,27162.780852908436
SOUTH AFRICA/ARA,27020.943377800533
SOUTH AFRICA / AG,26717.766453900716
WCI / WEST FAR EAST,26433.468078002225
USGC / ECSAM,26134.73996101364
USG/RED SEA,26119.29933343661
Brazil/USEC,25661.692577785438
USG/WCI,24132.10431154381
